0.673,0.688,0.710,0.715,0.722,0.719,0.721,0.718,0.700,0.676,0.659
0.702,0.742,0.771,0.784,0.795,0.790,0.785,0.768,0.741,0.705,0.682
0.708,0.777,0.806,0.831,0.842,0.840,0.830,0.808,0.774,0.725,0.689
0.710,0.773,0.822,0.850,0.864,0.864,0.857,0.828,0.787,0.733,0.701
0.707,0.763,0.816,0.851,0.871,0.874,0.856,0.831,0.804,0.734,0.691
0.699,0.755,0.808,0.849,0.873,0.866,0.849,0.828,0.785,0.733,0.689
0.694,0.755,0.804,0.837,0.855,0.862,0.845,0.824,0.785,0.733,0.687
0.692,0.743,0.791,0.822,0.836,0.841,0.831,0.810,0.776,0.727,0.684
0.688,0.732,0.771,0.799,0.818,0.820,0.817,0.804,0.764,0.720,0.676
0.685,0.723,0.757,0.776,0.794,0.797,0.786,0.779,0.745,0.708,0.679
0.665,0.701,0.727,0.733,0.738,0.739,0.731,0.718,0.706,0.671,0.649
0.673,0.688,0.710,0.715,0.722,0.719,0.721,0.718,0.700,0.676,0.659
0.702,0.715,0.722,0.719,0.721,0.718,0.700,0.676,0.659,0.702,0.715
0.722,0.719,0.721,0.718,0.700,0.676,0.659,0.702,0.715,0.722,0.719
0.721,0.718,0.700,0.676,0.659,0.702,0.715,0.722,0.719,0.721,0.718
0.700,0.676,0.659,0.702,0.715,0.722,0.719,0.721,0.718,0.700,0.676
0.659,0.702,0.715,0.722,0.719,0.721,0.718,0.700,0.676,0.659,0.702
0.715,0.722,0.719,0.721,0.718,0.700,0.676,0.659,0.702,0.715,0.722
0.719,0.721,0.718,0.700,0.676,0.659,0.702,0.715,0.722,0.719,0.721
0.718,0.700,0.700,0.676,0.659,0.702,0.722,0.722,0.719,0.721,0.718
Thickness_Mean, 0.7375099090909092
Thickness_StdDev, 0.05596111860252868
